Title,Experience,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site,Amount,Currency,Amount_EGP,category,Experience Years
.Net Developer,6 months,13000,7/18/2025 0:00,Egyption,On Site,Full Time,Cairo,13000,EGP,13000,Backend,0.5
.Net Developer,2,400 USD,7/7/2025 0:00,Not Egyption and site out of egypt,Remotley,Full Time,Riyadh ,400,USD,19416,Backend,2
.Net Developer,6,1200 usd,7/16/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,Cairo,1200,USD,58248,Backend,6
.Net Developer,8month,10,7/17/2025 0:00,Egyption,Remotley,Full Time,Tanta,10000,EGP,10000,Backend,0.5
.Net Developer,7 months,15000,6/1/2025 0:00,Egyption,On Site,Full Time,Giza ,15000,EGP,15000,Backend,0.5
.Net Developer,15,90000 EGP,7/27/2025 0:00,Not Egyption but site in egypt,On Site,Full Time,Cairo,90000,EGP,90000,Backend,15
.Net Developer,0,10000,6/1/2025 0:00,Egyption,On Site,Full Time,Cairo,10000,EGP,10000,Backend,0
.Net Developer,6 mo,17k,7/16/2025 0:00,Egyption,Hybird,Full Time,Cairo ,17000,EGP,17000,Backend,0.5
.Net Developer,1,12000,8/3/2025 0:00,Egyption,Hybird,Full Time,Cairo ,12000,EGP,12000,Backend,1
.Net Developer,1,14000,1/1/2025 0:00,Egyption,Remotley,Full Time,cairo,14000,EGP,14000,Backend,1
.Net Developer,1,14000,1/1/2025 0:00,Egyption,Remotley,Full Time,Madint Nasr,14000,EGP,14000,Backend,1
.Net Developer,2,8000,7/1/2025 0:00,Egyption,Hybird,Full Time,,8000,EGP,8000,Backend,2
.Net Developer,2,12000,9/1/2024 0:00,Not Egyption but site in egypt,Remotley,Full Time,Cairo,12000,EGP,12000,Backend,2
.Net Developer,1.8,14000,12/1/2023 0:00,Egyption,On Site,Full Time,Mansoura,14000,EGP,14000,Backend,2
.Net Developer,2,20000,6/15/2025 0:00,Egyption,On Site,Full Time,giza,20000,EGP,20000,Backend,2
.Net Developer,2,25000,7/31/2025 0:00,Egyption,On Site,Full Time,Cairo,25000,EGP,25000,Backend,2
.Net Developer,2,30k,1/1/2025 0:00,Egyption,Hybird,Full Time,Alexandria,30000,EGP,30000,Backend,2
